Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
South Africa,ZAF,2003,8.8,437,478,398,Africa,9.24,4132
Ecuador,ECU,2003,7.1,146,185,107,South America,70.56,2755
El Salvador,SLV,2003,5.7,211,299,129,North America,128.92,2507
Australia,AUS,2003,11.8,69,88,50,Oceania,133.84,25059
Estonia,EST,2003,11.9,197,289,105,Europe,338.24,7523
Uzbekistan,UZB,2003,9.5,173,217,129,Asia,82.06,441
Fiji,FJI,2003,9.3,220,265,171,Oceania,16.12,3192
Slovenia,SVN,2003,11.5,119,166,68,Europe,376.56,15568
Denmark,DNK,2003,12.8,98,121,74,Europe,156.7,43129
Spain,ESP,2003,8.6,82,115,48,Europe,116.49,22701
Finland,FIN,2003,9.6,97,134,57,Europe,243.45000000000002,34701
Saint Lucia,LCA,2003,7.3,169,206,134,North America,133.26,5599
Slovakia,SVK,2003,10.4,143,207,78,Europe,169.16,9138
Singapore,SGP,2003,9.8,73,94,52,Asia,172.74,30067
Austria,AUT,2003,9.6,86,113,58,Europe,257.06,33889
Albania,ALB,2003,9.0,107,129,82,Europe,58.6,2021
Germany,DEU,2003,12.5,89,117,60,Europe,181.24,31816
Seychelles,SYC,2003,7.6,185,254,103,Africa,100.0,9001
Azerbaijan,AZE,2003,10.6,151,199,104,Asia,27.07,948
Greece,GRC,2003,9.3,80,111,47,Europe,40.67,19202
Serbia,SRB,2003,9.9,131,172,88,Europe,271.27,2979
Cuba,CUB,2003,9.8,112,132,91,North America,221.12,3409
Grenada,GRD,2003,7.6,175,223,126,North America,69.18,6385
Armenia,ARM,2003,10.8,137,194,86,Asia,33.43,928
France,FRA,2003,10.2,97,132,60,Europe,241.31,32656
Israel,ISR,2003,12.2,76,98,54,Asia,97.17,21133
Belize,BLZ,2003,10.2,199,248,147,North America,59.0,4289
Montenegro,MNE,2003,10.3,132,171,94,Europe,0.0,2946
Japan,JPN,2003,11.0,68,92,44,Asia,279.40999999999997,36926
Antigua and Barbuda,ATG,2003,9.0,151,176,127,North America,27.82,10878
Canada,CAN,2003,11.7,77,96,58,North America,137.27,29787
Luxembourg,LUX,2003,10.9,85,115,53,Europe,164.37,69768
Panama,PAN,2003,8.8,120,154,85,North America,97.24,4790
Thailand,THA,2003,6.7,194,250,138,Asia,91.16,2531
Kyrgyzstan,KGZ,2003,10.0,217,292,140,Asia,137.86,424
Chile,CHL,2003,9.4,100,133,68,South America,153.54,5208
Norway,NOR,2003,12.2,77,95,57,Europe,138.07999999999998,53533
Mexico,MEX,2003,7.1,136,171,101,North America,63.0,7779
Bulgaria,BGR,2003,10.1,154,215,91,Europe,207.65,2800
New Zealand,NZL,2003,11.6,81,99,64,Oceania,172.35,23663
Trinidad and Tobago,TTO,2003,9.5,199,245,151,North America,158.25,9465
Lithuania,LTU,2003,11.3,207,307,108,Europe,530.52,5778
Kazakhstan,KAZ,2003,11.2,283,400,164,Asia,411.71,2232
Kuwait,KWT,2003,6.1,90,103,68,Asia,16.44,24544
Mauritius,MUS,2003,6.8,168,219,116,Africa,94.02,5136
Netherlands,NLD,2003,11.3,80,93,66,Europe,113.33,37614
Malta,MLT,2003,8.5,66,81,51,Europe,74.94,14444
Brazil,BRA,2003,6.2,172,230,113,South America,68.07,3376
Italy,ITA,2003,8.9,70,93,48,Europe,94.42,28572
Philippines,PHL,2003,8.0,212,269,154,Asia,33.41,1169
Barbados,BRB,2003,9.1,123,153,95,North America,0.0,12887
Latvia,LVA,2003,11.2,212,308,119,Europe,361.63,5364
Switzerland,CHE,2003,11.8,71,92,51,Europe,242.66,50639
Colombia,COL,2003,6.5,155,209,100,South America,79.85,2489
Belgium,BEL,2003,10.4,94,121,65,Europe,248.73,32538
Paraguay,PRY,2003,7.0,166,186,145,South America,51.35,1339
Jamaica,JAM,2003,7.8,170,208,130,North America,0.9099999999999999,3852
Argentina,ARG,2003,9.3,134,176,93,South America,146.29,3668
Sweden,SWE,2003,11.8,68,83,53,Europe,153.41,38997
Maldives,MDV,2003,3.3,114,128,99,Asia,15.52,3867
Belarus,BLR,2003,9.1,254,372,130,Europe,444.86,1892
Montenegro,MNE,2004,10.4,131,171,91,Europe,0.0,3565
France,FRA,2004,10.3,92,124,58,Europe,232.51000000000002,37240
Lithuania,LTU,2004,11.5,209,311,105,Europe,503.37,7028
Slovakia,SVK,2004,10.6,137,196,78,Europe,150.9,11177
Israel,ISR,2004,12.2,73,95,51,Asia,98.44,22168
Mexico,MEX,2004,7.4,132,166,99,North America,60.75,8217
Thailand,THA,2004,6.8,194,249,137,Asia,86.06,2849
Slovenia,SVN,2004,12.0,113,153,71,Europe,298.48,18067
Luxembourg,LUX,2004,11.1,79,106,50,Europe,189.54,80639
Singapore,SGP,2004,10.2,73,90,55,Asia,167.48,34799
Fiji,FJI,2004,9.3,218,263,168,Oceania,90.49000000000001,3744
Switzerland,CHE,2004,11.9,68,88,47,Europe,242.27,56123
Spain,ESP,2004,8.6,79,110,46,Europe,112.63000000000001,26372
Maldives,MDV,2004,3.4,118,135,101,Asia,3.74,4373
Estonia,EST,2004,12.0,193,288,98,Europe,299.46,9293
Mauritius,MUS,2004,7.0,164,216,109,Africa,100.99,5789
South Africa,ZAF,2004,8.8,459,496,426,Africa,12.63,5323
El Salvador,SLV,2004,5.8,209,297,127,North America,111.56,2573
Finland,FIN,2004,11.9,101,137,62,Europe,243.95000000000002,39793
Uzbekistan,UZB,2004,9.7,174,218,131,Asia,68.03999999999999,516
Trinidad and Tobago,TTO,2004,9.8,196,240,149,North America,188.28,11066
Latvia,LVA,2004,11.7,209,305,115,Europe,328.38,6644
Ukraine,UKR,2004,10.7,269,387,145,Europe,307.05,1432
Italy,ITA,2004,9.1,66,87,45,Europe,91.33,32704
Suriname,SUR,2004,7.7,216,269,160,South America,202.1,3360
Sweden,SWE,2004,12.3,70,85,54,Europe,157.41,44831
Ireland,IRL,2004,11.6,79,99,59,Europe,129.42000000000002,51662
Paraguay,PRY,2004,7.1,165,185,143,South America,65.44,1598
Iceland,ISL,2004,9.9,61,71,51,Europe,168.81,50528
Qatar,QAT,2004,8.4,69,74,59,Asia,15.25,45517
Romania,ROU,2004,9.9,166,230,100,Europe,151.19,3698
Japan,JPN,2004,11.1,67,89,44,Asia,266.25,39960
Hungary,HUN,2004,10.6,180,253,108,Europe,369.46999999999997,10806
Saint Lucia,LCA,2004,7.4,162,196,129,North America,66.17,5989
Uruguay,URY,2004,8.0,125,164,88,South America,258.49,4463
Georgia,GEO,2004,12.0,148,216,85,Asia,66.54,1253
Kazakhstan,KAZ,2004,11.5,289,408,164,Asia,413.86,3110
Guyana,GUY,2004,7.9,270,316,222,South America,400.0,1180
Norway,NOR,2004,12.7,76,93,58,Europe,141.37,61450
Guatemala,GTM,2004,3.6,206,271,145,North America,29.93,2215
Kuwait,KWT,2004,6.1,89,102,67,Asia,17.26,29778
Grenada,GRD,2004,7.7,186,236,134,North America,13.37,6428
Serbia,SRB,2004,10.0,129,171,85,Europe,262.51,3508
Kyrgyzstan,KGZ,2004,10.1,217,290,141,Asia,141.33,484
Seychelles,SYC,2004,7.7,186,256,104,Africa,63.27,10526
Poland,POL,2004,11.6,142,204,78,Europe,187.74,7014
New Zealand,NZL,2004,11.6,79,94,63,Oceania,163.41,27325
Greece,GRC,2004,9.6,80,111,47,Europe,40.92,22804
Netherlands,NLD,2004,11.5,76,89,63,Europe,111.16,42614
Germany,DEU,2004,12.9,85,111,58,Europe,172.23,35772
Panama,PAN,2004,8.9,117,147,85,North America,81.76,5144
Malta,MLT,2004,8.6,64,77,51,Europe,85.82000000000001,15916
Jamaica,JAM,2004,8.0,168,205,130,North America,0.74,4119
Bahamas,BHS,2004,10.9,187,236,138,North America,5.93,30671
