Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Azerbaijan,AZE,2001,10.6,149,199,102,Asia,60.05,"5,707,720,391"
Panama,PAN,2001,8.6,120,153,86,North America,86.77,"12,502,013,400"
El Salvador,SLV,2001,5.3,222,311,138,North America,129.71,"12,282,533,600"
Italy,ITA,2001,8.7,73,98,49,Europe,95.87,"1,162,317,852,349"
Bahrain,BHR,2001,8.4,98,109,81,Asia,30.66,"8,976,207,713"
Ecuador,ECU,2001,7.0,154,192,115,South America,67.24,"24,468,324,000"
Slovakia,SVK,2001,10.1,145,208,81,Europe,171.88,"30,703,017,450"
Switzerland,CHE,2001,11.6,75,96,52,Europe,261.69,"278,631,271,391"
Israel,ISR,2001,12.1,79,103,56,Asia,108.23,"130,706,147,871"
Antigua and Barbuda,ATG,2001,8.9,154,179,131,North America,19.45,"800,740,259"
Slovenia,SVN,2001,11.5,123,170,73,Europe,423.4,"20,875,387,068"
Trinidad and Tobago,TTO,2002,9.4,195,242,145,North America,159.01,"9,008,273,721"
Antigua and Barbuda,ATG,2002,9.0,149,171,128,North America,0.0,"814,615,333"
Japan,JPN,2002,10.9,68,92,44,Asia,265.84,"4,115,116,279,070"
Guatemala,GTM,2002,3.8,206,268,147,North America,40.53,"20,776,669,467"
Ecuador,ECU,2002,7.1,153,193,111,South America,61.42,"28,548,945,000"
Kazakhstan,KAZ,2002,11.0,276,391,160,Asia,405.89,"24,636,593,223"
Bulgaria,BGR,2002,10.0,156,218,94,Europe,247.35,"16,276,456,428"
Finland,FIN,2002,9.5,97,132,60,Europe,255.51999999999998,"139,552,983,249"
Netherlands,NLD,2002,11.1,81,94,67,Europe,119.73,"465,368,906,456"
Grenada,GRD,2002,7.4,175,223,127,North America,0.0,"540,336,926"
Greece,GRC,2002,9.1,79,109,48,Europe,38.35,"153,830,947,017"
Germany,DEU,2002,12.1,91,119,61,Europe,183.96,"2,079,136,081,310"
Canada,CAN,2002,11.5,78,96,59,North America,137.73,"757,950,678,647"
Chile,CHL,2002,9.2,100,133,67,South America,149.28,"69,736,811,435"
Albania,ALB,2002,9.0,102,126,77,Europe,62.51,"4,435,078,648"
Norway,NOR,2002,12.1,80,100,59,Europe,141.0,"195,418,347,153"
New Zealand,NZL,2002,11.6,82,100,64,Oceania,152.03,"66,627,729,311"
Denmark,DNK,2002,12.1,101,123,78,Europe,176.51,"178,635,160,297"
France,FRA,2002,10.1,98,134,61,Europe,238.64000000000001,"1,494,286,655,374"
Mexico,MEX,2002,7.0,136,170,101,North America,58.36,"772,106,378,935"
El Salvador,SLV,2002,5.5,213,301,131,North America,113.19,"12,664,190,300"
Uruguay,URY,2002,8.0,129,171,88,South America,331.69,"13,606,494,599"
Latvia,LVA,2002,10.6,221,327,116,Europe,367.76,"9,546,441,564"
Ireland,IRL,2002,11.2,86,111,59,Europe,135.82,"127,945,379,258"
Lithuania,LTU,2002,11.1,207,308,105,Europe,555.62,"14,278,357,284"
Croatia,HRV,2002,9.8,124,176,71,Europe,304.12,"26,878,499,206"
Cuba,CUB,2002,9.5,112,133,90,North America,240.42000000000002,"33,590,500,000"
Iceland,ISL,2002,9.7,66,78,54,Europe,131.24,"9,207,689,916"
Kyrgyzstan,KGZ,2002,10.0,217,294,136,Asia,173.11,"1,605,640,633"
Israel,ISR,2002,12.1,81,105,57,Asia,93.49,"121,069,378,150"
Uzbekistan,UZB,2002,9.4,176,220,132,Asia,95.28,"9,687,951,055"
Luxembourg,LUX,2002,10.7,87,114,57,Europe,264.14,"23,616,328,816"
Fiji,FJI,2002,9.4,220,265,173,Oceania,110.54,"1,842,691,481"
Argentina,ARG,2002,9.2,137,182,92,South America,139.42000000000002,"97,724,004,252"
Costa Rica,CRI,2002,8.0,100,128,70,North America,95.62,"16,504,795,453"
Jamaica,JAM,2002,7.7,171,211,130,North America,0.7,"9,694,169,757"
Estonia,EST,2002,11.9,210,310,109,Europe,358.3,"7,322,069,511"
Kuwait,KWT,2002,6.1,91,104,69,Asia,14.56,"38,137,545,245"
Malta,MLT,2002,8.3,68,86,49,Europe,55.28,"4,689,832,690"
Hungary,HUN,2002,10.3,184,258,110,Europe,382.75,"67,716,887,203"
Mauritius,MUS,2002,6.6,173,233,111,Africa,131.9,"4,767,303,154"
Colombia,COL,2002,6.5,169,234,101,South America,81.38,"97,933,391,976"
Guyana,GUY,2002,7.8,280,326,232,South America,311.93,"722,460,886"
Italy,ITA,2002,8.8,71,93,48,Europe,94.61,"1,266,510,634,293"
Maldives,MDV,2002,3.2,128,144,112,Asia,9.84,"897,031,250"
Sweden,SWE,2002,11.6,70,85,54,Europe,162.71,"263,926,220,333"
Ukraine,UKR,2002,10.5,257,372,138,Europe,344.05,"42,392,896,031"
Belgium,BEL,2002,10.3,97,126,67,Europe,247.85999999999999,"258,860,436,665"
Belize,BLZ,2002,10.2,200,248,148,North America,69.62,"932,551,850"
Panama,PAN,2002,8.7,120,153,85,North America,78.94,"12,994,310,400"
Australia,AUS,2002,11.8,72,90,53,Oceania,144.68,"394,486,709,920"
Azerbaijan,AZE,2002,10.6,144,190,98,Asia,19.419999999999998,"6,235,795,104"
Armenia,ARM,2002,10.8,137,197,84,Asia,38.07,"2,376,335,048"
Poland,POL,2002,11.4,143,204,80,Europe,183.27,"198,680,637,255"
Bahamas,BHS,2002,10.9,206,258,154,North America,9.969999999999999,"8,881,160,000"
Barbados,BRB,2002,9.1,126,157,97,North America,0.0,"3,169,600,000"
Portugal,PRT,2002,7.0,107,150,64,Europe,171.82999999999998,"134,228,697,534"
